Client payeur,CP,Ville,Adresse 1,Agent commercial,niv. commission,Type client,Agent commercial,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE DE LA PROVIDENCE / DR NEYRAT  - 6904,13001,MARSEILLE 1ER ARRONDISSEM,34 RUE NATIONALE,43 - 001,,09 - PHARMACIE,001 - EMS,3341.93,2753.24,2271.2600000000007,4646.479999999999,1070.6699999999992,0.4713991352817374,-1893.2399999999989,-0.40745682753396106,0.5482915160692811,0.4517084839307189,0.3283239902048936,0.6716760097951063
PHARMACIE DE L ETOILE / DR AZIZA  - 6943,13013,MARSEILLE 13EME ARRONDISS,107 BOULEVARD BARA,57 - 001,,09 - PHARMACIE,001 - EMS,3093.66,1181.17,5635.249999999997,4073.530000000003,-2541.5899999999974,-0.45101637016991236,-2892.360000000003,-0.7100377314024938,0.7236919362875248,0.2763080637124751,0.5804282309414774,0.41957176905852256
PHARMACIE DE LA GRANDE ARMEE / DR TAWFIK  - 6903,13001,MARSEILLE 1ER ARRONDISSEM,6 RUE DE LA GRANDE ARMEE,33 - 001,,09 - PHARMACIE,001 - EMS,3515.39,4409.31,3781.37,2373.3000000000006,-265.98,-0.07033958591727338,2036.0099999999998,0.8578814309189733,0.44359912678082447,0.5564008732191755,0.6143903734887491,0.3856096265112509
PHARMACIE DE MONTREDON / DR LESIMPLE MASQUELIN  - 5716,13008,MARSEILLE,6/8 avenue la madrague de montredon,10 - 001,,09 - PHARMACIE,001 - EMS,3673.05,1384.27,3407.1599999999985,4027.44,265.8900000000017,0.07803860106364298,-2643.17,-0.6562903482112707,0.7262838815815492,0.2737161184184509,0.45828423856024525,0.5417157614397548
PHARMACIE FOCH / DR ATLANI  - 6915,13004,MARSEILLE,3 / 5 VENUE MARECHAL FOCH,46 - 001,,09 - PHARMACIE,001 - EMS,2932.51,2067.71,4086.729999999998,9702.079999999993,-1154.219999999998,-0.28243118581359633,-7634.369999999993,-0.786879720637224,0.5864761950474179,0.41352380495258206,0.29638018074076017,0.7036198192592399
PHARMACIE DU CAP EST / DR HALFON  - 6939,13010,MARSEILLE 10EME ARRONDISS,10 RUE JEAN BAPTISTE REBOUL,40 - 001,,09 - PHARMACIE,001 - EMS,3131.06,4980.92,3978.939999999997,8169.400000000003,-847.8799999999969,-0.21309192900621712,-3188.480000000003,-0.39029549293705806,0.38597974847078026,0.6140202515292198,0.32752952255205214,0.6724704774479479
PHARMACIE DE PLOMBIERES / DR ELIAUTOU - TRIEU  - 5305,13014,MARSEILLE 14EME ARRONDISS,1 bd burel / 1 bd guigou,7 - 001,,09 - PHARMACIE,001 - EMS,2280.79,3966.27,732.6600000000001,1926.6800000000003,1548.1299999999999,2.1130265061556517,2039.5899999999997,1.0586034006685072,0.36509814216607495,0.6349018578339252,0.2755044484721773,0.7244955515278227
PHARMACIE PHOCEA BRETEUIL / DR CASTELLI  - 443,13001,MARSEILLE 1ER ARRONDISSEM,10 rue Breteuil,27 - 001,,09 - PHARMACIE,001 - EMS,2612.28,2647.99,2293.2000000000007,1662.5500000000004,319.0799999999995,0.13914181057038172,985.4399999999994,0.592728038254488,0.4966056875407536,0.5033943124592463,0.5797130759021678,0.4202869240978323
PHARMACIE BEAUSOLEIL / DR BOSC ET JACQUOT  - 3806,13004,MARSEILLE 4EME ARRONDISSE,148 Boulevard de Roux,64 - 001,,09 - PHARMACIE,001 - EMS,6072.05,2269.94,4290.470000000005,10479.619999999986,1781.5799999999954,0.4152412206588074,-8209.679999999986,-0.783394817751025,0.7278898680051163,0.2721101319948837,0.29048367342379144,0.7095163265762086
PHARMACIE DIAI / DR DIAI  - 6906,13001,MARSEILLE 1ER ARRONDISSEM,76 LA CANEBIERE,19 - 001,,09 - PHARMACIE,001 - EMS,2637.1,412.0,2274.620000000001,3961.9700000000007,362.4799999999991,0.15935848625264834,-3549.9700000000007,-0.8960113276980896,0.8648781607687515,0.13512183923124857,0.364721746980321,0.6352782530196789
PHARMACIE RICHARD  - 4283,13015,MARSEILLE 15EME ARRONDISS,141 av de Saint Antoine,3 - 001,,09 - PHARMACIE,001 - EMS,2233.96,4368.17,1096.25,2489.940000000001,1137.71,1.0378198403648804,1878.229999999999,0.7543274135119715,0.33836958678487095,0.661630413215129,0.30568653640771953,0.6943134635922805
