Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
202,160.0,COUSSIN VISCO MOUSSE C II 38X38,17,48,654.75,1894.1,430.5,1224,224.25,670.1,31,1.823529412,1239.35,1.89285987,,,,,,,,,,,
203,33.0,FAUTEUIL ROULANT DOSSIER INCLINABLE T42 DRIVE,53,73,14776.6,20143.11,9184.7,12402.7,5591.9,7740.41,20,0.3773584906,5366.51,0.3631762381,,,,,,,,,,,
203,649.0,FAUTEUIL ROULANT DOSSIER INCLINABLE T39 DRIVE,15,27,4702.18,7282.31,2628.5,4587.3,2073.68,2695.01,12,0.8,2580.13,0.5487093221,,,,,,,,,,,
403,252.0,BANDE EXTENSIBLE 4MX15CM C/20,240,80,98,32,44.01,11.48,53.99,20.52,-160,-0.6666666667,-66,-0.6734693878,,,,,,,,,,,
403,247.0,BANDE CREPE COTON 4MX7CM C/40,780,760,352.14,354,244.78,238.144,107.36,115.856,-20,-0.02564102564,1.86,0.005281990118,,,,,,,,,,,
1201,1575.0,CHAUSSURE VENUS NOIR T38 (LA PAIRE),0,1,0,29.9,0,21.54,0,8.36,1,,29.9,,,,,,,,,,,,
1201,1576.0,CHAUSSURE VENUS NOIR T39 (LA PAIRE),1,0,29.9,0,21.54,0,8.36,0,-1,-1,-29.9,-1,,,,,,,,,,,
1201,1509.0,CHAUSSURE HELOISE FEMME NOIR T36(LA PAIRE),-1,0,-48.9,0,-36.04,0,-12.86,0,1,-1,48.9,-1,,,,,,,,,,,
1201,1510.0,CHAUSSURE HELOISE FEMME NOIR T37(LA PAIRE),1,1,48.9,48.9,36.04,36.04,12.86,12.86,0,0,0,0,,,,,,,,,,,
1601,1014.0,ENFILE BAS ET CHAUSSETTE,6,9,53.4,80.1,18.36,27.4,35.04,52.7,3,0.5,26.7,0.5,,,,,,,,,,,
203,437.0,FAUTEUIL ROULANT DOSSIER INCLINABLE T51 DRIVE,5,3,1475,740,869.5,509.7,605.5,230.3,-2,-0.4,-735,-0.4983050847,,,,,,,,,,,
803,1848.0,SONDE ASPIRATION BISEAU 2OEILS CH18 50CM,7,0,0,0,0.91,0,-0.91,0,-7,-1,0,,,,,,,,,,,,
904,1889.0,TIRE LAIT FISIO PRO AUTOMATIQUE,1,0,459.48,0,480.6,0,-21.12,0,-1,-1,-459.48,-1,,,,,,,,,,,
207,880.0,CANNE ANGLAISE ENFANT TIKI ROUGE / BLEUE,242,242,2277.16,2694.2,1705.6,1738.36,571.56,955.84,0,0,417.04,0.183140403,,,,,,,,,,,
406,348.0,ALLEVYN G.B LITE HYDROCEL SILICONÉ EXTRA MINCE 8X15 B/10 C/6,195,108,2964.15,1619.02,2616.12,1439.184,348.03,179.836,-87,-0.4461538462,-1345.13,-0.4537995715,,,,,,,,,,,
501,1204.0,HARICOT CARTON,140,125,20.3,18.13,13.3,11.875,7,6.255,-15,-0.1071428571,-2.17,-0.1068965517,,,,,,,,,,,
502,286.0,SERINGUE 2 PIECES 2ML NON MONTEE BTE/100,24,51,108,229.5,53.59,116.382,54.41,113.118,27,1.125,121.5,1.125,,,,,,,,,,,
502,289.0,SERINGUE 2 PIECES 20ML NON MONTEE BTE/80,11,14,102.5,133,55.27,73.88,47.23,59.12,3,0.2727272727,30.5,0.2975609756,,,,,,,,,,,
502,287.0,SERINGUE 2 PIECES 5ML NON MONTEE BTE/100,12,16,66,88,34.59,48.59,31.41,39.41,4,0.3333333333,22,0.3333333333,,,,,,,,,,,
504,326.0,RASOIRS JETABLES STANDARDS 1 LAME B/100,1,3,11.5,37.2,6.23,23.03,5.27,14.17,2,2,25.7,2.234782609,,,,,,,,,,,
1102,433.0,ABAISSE LANGUE ADULTE B/100,41,26,44.84,47.5,32.39,20.54,12.45,26.96,-15,-0.3658536585,2.66,0.0593220339,,,,,,,,,,,
207,1450.0,CANNE DERBY PLIANTE BUTTERFLY N°5,5,20,64.3,257.08,44.5,178,19.8,79.08,15,3,192.78,2.998133748,,,,,,,,,,,
207,1452.0,CANNE DERBY PLIANTE CACHEMIRE PASTEL N°2,6,19,73.1,238.88,53.4,169.1,19.7,69.78,13,2.166666667,165.78,2.267852257,,,,,,,,,,,
207,1453.0,CANNE DERBY PLIANTE INDIRA N°4,6,15,76.2,184.48,53.4,133.5,22.8,50.98,9,1.5,108.28,1.420997375,,,,,,,,,,,
303,1922.0,MARCHE PIED 10CM DRIVE EMPILABLE,4,9,86,181.46,51.6,116.1,34.4,65.36,5,1.25,95.46,1.11,,,,,,,,,,,
601,1730.0,HEXA SLIP T2 MAXI M NUIT *20 CT4,8,20,82.82,245.36,68.24,170.6,14.58,74.76,12,1.5,162.54,1.962569428,,,,,,,,,,,
601,1734.0,HEXA SLIP T4 MAXI XL NUIT *15 CT3,6,18,71.98,240.75,57.9,173.824,14.08,66.926,12,2,168.77,2.344679078,,,,,,,,,,,
601,1732.0,HEXA SLIP T3 MAXI L NUIT *20 CT4,8,32,93.46,394.42,78.24,301.44,15.22,92.98,24,3,300.96,3.220201156,,,,,,,,,,,
602,1723.0,HEXA PANTS T2 EXTRA M JOUR *14 CT8,14,16,117.48,135.28,86.24,97.84,31.24,37.44,2,0.1428571429,17.8,0.1515151515,,,,,,,,,,,
207,216.0,CANNE COURBE BOIS 92CM,7,10,78.3,129,56.22,85.8,22.08,43.2,3,0.4285714286,50.7,0.6475095785,,,,,,,,,,,
1102,1226.0,SPIROMETRE VOLDYNE 4000 D'ENTRAINEMENT,12,20,166.8,278,76.32,127.2,90.48,150.8,8,0.6666666667,111.2,0.6666666667,,,,,,,,,,,
108,24.0,COUSSIN N°10 STANDARD DE POSITIONNEMENT LATERAL MB 30° (VCP 11),20,20,1889.83,1864.18,1131.64,1144.6,758.19,719.58,0,0,-25.65,-0.01357264939,,,,,,,,,,,
202,1181.0,COUSSIN VISCO MOUSSE C II 41X41,16,40,612.25,1431.6,403.8,1020,208.45,411.6,24,1.5,819.35,1.338260514,,,,,,,,,,,
405,257.0,PANSEMENTS ADHESIFS STERILES EUROPLAIE 5X7CM B/5 C/40,670,490,432.2,293,185.1,132.3,247.1,160.7,-180,-0.2686567164,-139.2,-0.3220731143,,,,,,,,,,,
405,258.0,PANSEMENTS ADHESIFS STERILES EUROPLAIE 8X10CM B/5 C/40,340,200,322.88,213.3,131.6,76.3,191.28,137,-140,-0.4117647059,-109.58,-0.3393830525,,,,,,,,,,,
405,253.0,SPARADRAP ADHESIF MICROPOREUX 9.14MX2.5CM ANAPORE C/60,800,481,540.55,432.9,306.1,186.027,234.45,246.873,-319,-0.39875,-107.65,-0.1991490149,,,,,,,,,,,
405,313.0,PANSEMENTS ADHESIFS STERILES EUROPLAIE 10X20CM B/5 C/20,90,80,219.17,230,67.5,57.1,151.67,172.9,-10,-0.1111111111,10.83,0.04941369713,,,,,,,,,,,
405,254.0,PANSEMENTS GRAS MEDITULLE 10X10CM  B/10 C/6,140,33,334.83,142.38,211.74,48.51,123.09,93.87,-107,-0.7642857143,-192.45,-0.5747692859,,,,,,,,,,,
405,265.0,PANSEMENTS POST OP PETITE PLAIE X3,228,84,923.6,391.86,731.88,269.64,191.72,122.22,-144,-0.6315789474,-531.74,-0.5757254223,,,,,,,,,,,
405,264.0,PANSEMENTS POST OP MOYENNE PLAIE X3,296,60,1420.03,312.18,1033.04,209.4,386.99,102.78,-236,-0.7972972973,-1107.85,-0.7801595741,,,,,,,,,,,
405,448.0,PANSEMENTS PLAIES CHRONIQUES X5,104,0,677.18,0,541.84,0,135.34,0,-104,-1,-677.18,-1,,,,,,,,,,,
405,259.0,PANSEMENTS ADHESIFS STERILES EUROPLAIE 10X15CM B/5 C/20,200,130,462.97,292,117.5,73.1,345.47,218.9,-70,-0.35,-170.97,-0.3692895868,,,,,,,,,,,
405,456.0,PANSEMENTS ADHESIFS TRANSPARENTS STERILES EUROFILM 5X7CM B/5 C/40,180,180,237,219,117.7,116.3,119.3,102.7,0,0,-18,-0.07594936709,,,,,,,,,,,
405,458.0,PANSEMENTS ADHESIFS TRANSPARENTS STERILES EUROFILM 9X15 CM B/5 C/20,80,60,238,168,117.2,85.8,120.8,82.2,-20,-0.25,-70,-0.2941176471,,,,,,,,,,,
405,469.0,PANSEMENTS ADHESIFS TRANSPARENTS STERILES EUROFILM10X20 CM B/5 C/20,22,0,71.23,0,38.8,0,32.43,0,-22,-1,-71.23,-1,,,,,,,,,,,
206,1072.0,FAUTEUIL RELEVEUR 2 MOTEURS CAPRI MARRON,13,21,6688.5,10309.8,4310.01,6943.35,2378.49,3366.45,8,0.6153846154,3621.3,0.5414218435,,,,,,,,,,,
206,1910.0,FAUTEUIL RELEVEUR 2 MOTEURS RELAX TOUCH ERGO MARRON GLACE,2,2,1213.1,1318,879.8,879.8,333.3,438.2,0,0,104.9,0.08647267332,,,,,,,,,,,
